"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","image_index","reward_type","valuable_image_index","selected_after_X","correct_choice"
"","","","","","html-button-response","40","139548","0.0-40.0","","311","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","kitchen_operations_semantic","semantic_sequence","3","","","",""
"","","","","","html-keyboard-response","41","143550","0.0-41.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_4.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","42","143960","0.0-42.0","","407","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_4.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","kitchen_operations_semantic","semantic_sequence","4","","","",""
"","","","","","html-keyboard-response","43","147962","0.0-43.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_5.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","44","148499","0.0-44.0","","536","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_5.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","kitchen_operations_semantic","semantic_sequence","5","","","",""
"","","","","","html-keyboard-response","45","152502","0.0-45.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_6.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","46","152906","0.0-46.0","","403","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_6.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","kitchen_operations_semantic","semantic_sequence","6","","","",""
"","","","","","html-keyboard-response","47","156908","0.0-47.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_7.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","48","157300","0.0-48.0","","391","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_7.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","kitchen_operations_semantic","semantic_sequence","7","","","",""
"","","","","","html-keyboard-response","49","161303","0.0-49.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_8.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","50","161713","0.0-50.0","","409","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_8.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","kitchen_operations_semantic","semantic_sequence","8","","","",""
"","","","","","html-keyboard-response","51","165716","0.0-51.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_9.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","52","166126","0.0-52.0","","409","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_9.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","kitchen_operations_semantic","semantic_sequence","9","","","",""
"","","","","","html-keyboard-response","53","170129","0.0-53.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_ten.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","54","170623","0.0-54.0","","492","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_ten.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","kitchen_operations_semantic","semantic_sequence","ten","","","",""
"","","","","","html-keyboard-response","55","172640","0.0-55.0","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","",""
"","","","","","html-keyboard-response","56","176646","0.0-56.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_1.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","57","177490","0.0-57.0","","843","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","package_causal","causal_sequence","1","","","",""
"","","","","","html-keyboard-response","58","181496","0.0-58.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_2.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","59","181954","0.0-59.0","","457","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","package_causal","causal_sequence","2","","","",""
"","","","","","html-keyboard-response","60","185956","0.0-60.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_3.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","61","186439","0.0-61.0","","480","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","package_causal","causal_sequence","3","","","",""
"","","","","","html-keyboard-response","62","190441","0.0-62.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_4.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","63","191329","0.0-63.0","","887","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_4.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","observation","package_causal","causal_sequence","4","","","",""
"","","","","","html-keyboard-response","64","195344","0.0-64.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_5.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","65","195683","0.0-65.0","","338","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_5.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","package_causal","causal_sequence","5","","","",""
"","","","","","html-keyboard-response","66","199699","0.0-66.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_6.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","67","200102","0.0-67.0","","401","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_6.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","package_causal","causal_sequence","6","","","",""
"","","","","","html-keyboard-response","68","204117","0.0-68.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_7.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","69","204531","0.0-69.0","","412","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_7.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","package_causal","causal_sequence","7","","","",""
"","","","","","html-keyboard-response","70","208545","0.0-70.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_8.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","71","209108","0.0-71.0","","562","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_8.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","package_causal","causal_sequence","8","","","",""
"","","","","","html-keyboard-response","72","213117","0.0-72.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_9.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","73","213496","0.0-73.0","","376","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_9.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","package_causal","causal_sequence","9","","","",""
"","","","","","html-keyboard-response","74","217500","0.0-74.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_ten.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","75","217910","0.0-75.0","","408","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_ten.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","package_causal","causal_sequence","ten","","","",""
"","","","","","html-keyboard-response","76","219921","0.0-76.0","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","",""
"","","","","","html-keyboard-response","77","223932","0.0-77.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_1.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","78","224500","0.0-78.0","","567","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","physical_activity_semantic","semantic_sequence","1","","","",""
"","","","","","html-keyboard-response","79","228511","0.0-79.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_2.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","80","229158","0.0-80.0","","645","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","physical_activity_semantic","semantic_sequence","2","","","",""
"","","","","","html-keyboard-response","81","233171","0.0-81.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_3.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","82","233526","0.0-82.0","","352","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","physical_activity_semantic","semantic_sequence","3","","","",""
"","","","","","html-keyboard-response","83","237532","0.0-83.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_4.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","84","238051","0.0-84.0","","517","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_4.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","physical_activity_semantic","semantic_sequence","4","","","",""
"","","","","","html-keyboard-response","85","242063","0.0-85.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_5.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","86","242494","0.0-86.0","","429","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_5.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","physical_activity_semantic","semantic_sequence","5","","","",""
"","","","","","html-keyboard-response","87","246500","0.0-87.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_6.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","88","246863","0.0-88.0","","361","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_6.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","physical_activity_semantic","semantic_sequence","6","","","",""
"","","","","","html-keyboard-response","89","250875","0.0-89.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_7.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","90","252034","0.0-90.0","","1157","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_7.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","physical_activity_semantic","semantic_sequence","7","","","",""
"","","","","","html-keyboard-response","91","256048","0.0-91.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_8.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","92","256452","0.0-92.0","","402","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_8.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","physical_activity_semantic","semantic_sequence","8","","","",""
"","","","","","html-keyboard-response","93","260464","0.0-93.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_9.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","94","260812","0.0-94.0","","346","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_9.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","physical_activity_semantic","semantic_sequence","9","","","",""
"","","","","","html-keyboard-response","95","264822","0.0-95.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_ten.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","96","265492","0.0-96.0","","668","<div class=""stimulus-container""><img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_ten.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","physical_activity_semantic","semantic_sequence","ten","","","",""
"","","","","","html-keyboard-response","97","267494","0.0-97.0","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","",""
"","","","","","html-keyboard-response","98","271503","0.0-98.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_1.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","99","273118","0.0-99.0","","1613","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","housework_semantic","semantic_sequence","1","","","",""
"","","","","","html-keyboard-response","100","277122","0.0-100.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_2.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","101","277560","0.0-101.0","","436","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","housework_semantic","semantic_sequence","2","","","",""
"","","","","","html-keyboard-response","102","281563","0.0-102.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_3.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","103","282343","0.0-103.0","","777","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","housework_semantic","semantic_sequence","3","","","",""
"","","","","","html-keyboard-response","104","286346","0.0-104.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_4.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","105","287307","0.0-105.0","","959","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_4.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","housework_semantic","semantic_sequence","4","","","",""
"","","","","","html-keyboard-response","106","291320","0.0-106.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_5.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","107","291715","0.0-107.0","","394","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_5.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","housework_semantic","semantic_sequence","5","","","",""
"","","","","","html-keyboard-response","108","295722","0.0-108.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_6.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","109","296438","0.0-109.0","","714","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_6.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","housework_semantic","semantic_sequence","6","","","",""
"","","","","","html-keyboard-response","110","300450","0.0-110.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_7.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","111","301032","0.0-111.0","","580","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_7.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","housework_semantic","semantic_sequence","7","","","",""
"","","","","","html-keyboard-response","112","305049","0.0-112.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_8.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","113","305766","0.0-113.0","","716","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_8.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","housework_semantic","semantic_sequence","8","","","",""
"","","","","","html-keyboard-response","114","309776","0.0-114.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_9.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","115","310195","0.0-115.0","","417","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_9.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","housework_semantic","semantic_sequence","9","","","",""
"","","","","","html-keyboard-response","116","314208","0.0-116.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_ten.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","117","314636","0.0-117.0","","426","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_ten.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","housework_semantic","semantic_sequence","ten","","","",""
"","","","","","html-keyboard-response","118","316642","0.0-118.0","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","",""
"","","","","","html-keyboard-response","119","320654","0.0-119.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""></div>","null","","","","","","","",""
